Hour,Weekday/Weekend,Presence Detector,Face Recognition,Weapon Recognition,Action
00:00,Weekday,0,0,0,0
00:10,Weekday,0,0,0,0
00:20,Weekday,0,0,0,0
00:30,Weekday,0,0,0,0
00:40,Weekday,0,0,0,0
00:50,Weekday,0,0,0,0
01:00,Weekday,0,0,0,0
01:10,Weekday,0,0,0,0
01:20,Weekday,0,0,0,0
01:30,Weekday,0,0,0,0
01:40,Weekday,0,0,0,0
01:50,Weekday,0,0,0,0
02:00,Weekday,0,0,0,0
02:10,Weekday,0,0,0,0
02:20,Weekday,0,0,0,0
02:30,Weekday,0,0,0,0
02:40,Weekday,0,0,0,0
02:50,Weekday,0,0,0,0
03:00,Weekday,0,0,0,0
03:10,Weekday,0,0,0,0
03:20,Weekday,0,0,0,0
03:30,Weekday,0,0,0,0
03:40,Weekday,0,0,0,0
03:50,Weekday,0,0,0,0
04:00,Weekday,0,0,0,0
04:10,Weekday,0,0,0,0
04:20,Weekday,0,0,0,0
04:30,Weekday,0,0,0,0
04:40,Weekday,0,0,0,0
04:50,Weekday,0,0,0,0
05:00,Weekday,0,0,0,0
05:10,Weekday,0,0,0,0
05:20,Weekday,0,0,0,0
05:30,Weekday,0,0,0,0
05:40,Weekday,0,0,0,0
05:50,Weekday,0,0,0,0
06:00,Weekday,0,0,0,0
06:10,Weekday,0,0,0,0
06:20,Weekday,0,0,0,0
06:30,Weekday,0,0,0,0
06:40,Weekday,0,0,0,0
06:50,Weekday,0,0,0,0
07:00,Weekday,1,2,0,0
07:10,Weekday,1,2,0,0
07:20,Weekday,1,2,0,0
07:30,Weekday,0,0,0,0
07:40,Weekday,0,0,0,0
07:50,Weekday,0,0,0,0
08:00,Weekday,1,2,0,0
08:10,Weekday,0,0,0,0
08:20,Weekday,0,0,0,0
08:30,Weekday,0,0,0,0
08:40,Weekday,0,0,0,0
08:50,Weekday,0,0,0,0
09:00,Weekday,0,0,0,0
09:10,Weekday,0,0,0,0
09:20,Weekday,0,0,0,0
09:30,Weekday,0,0,0,0
09:40,Weekday,0,0,0,0
09:50,Weekday,0,0,0,0
10:00,Weekday,0,0,0,0
10:10,Weekday,0,0,0,0
10:20,Weekday,0,0,0,0
10:30,Weekday,0,0,0,0
10:40,Weekday,0,0,0,0
10:50,Weekday,0,0,0,0
11:00,Weekday,0,0,0,0
11:10,Weekday,0,0,0,0
11:20,Weekday,1,0,1,1
11:30,Weekday,1,0,1,1
11:40,Weekday,1,0,1,1
11:50,Weekday,1,0,1,1
12:00,Weekday,1,0,1,1
12:10,Weekday,1,0,1,1
12:20,Weekday,1,0,1,1
12:30,Weekday,1,0,1,1
12:40,Weekday,1,0,1,1
12:50,Weekday,1,0,1,1
13:00,Weekday,0,0,0,0
13:10,Weekday,0,0,0,0
13:20,Weekday,0,0,0,0
13:30,Weekday,0,0,0,0
13:40,Weekday,0,0,0,0
13:50,Weekday,0,0,0,0
14:00,Weekday,0,0,0,0
14:10,Weekday,0,0,0,0
14:20,Weekday,0,0,0,0
14:30,Weekday,0,0,0,0
14:40,Weekday,0,0,0,0
14:50,Weekday,0,0,0,0
15:00,Weekday,0,0,0,0
15:10,Weekday,0,0,0,0
15:20,Weekday,0,0,0,0
15:30,Weekday,1,2,0,0
15:40,Weekday,1,2,0,0
15:50,Weekday,1,2,0,0
16:00,Weekday,1,2,0,0
16:10,Weekday,1,2,0,0
16:20,Weekday,1,2,0,0
16:30,Weekday,1,4,0,0
16:40,Weekday,1,4,0,0
16:50,Weekday,1,4,0,0
17:00,Weekday,1,4,0,0
17:10,Weekday,1,4,0,0
17:20,Weekday,1,4,0,0
17:30,Weekday,1,4,0,0
17:40,Weekday,1,4,0,0
17:50,Weekday,1,4,0,0
18:00,Weekday,1,4,0,0
18:10,Weekday,1,4,0,0
18:20,Weekday,1,4,0,0
18:30,Weekday,1,4,0,0
18:40,Weekday,1,4,0,0
18:50,Weekday,1,4,0,0
19:00,Weekday,1,4,0,0
19:10,Weekday,1,4,0,0
19:20,Weekday,1,4,0,0
19:30,Weekday,1,4,0,0
19:40,Weekday,1,4,0,0
19:50,Weekday,1,4,0,0
20:00,Weekday,1,4,0,0
20:10,Weekday,1,4,0,0
20:20,Weekday,1,4,0,0
20:30,Weekday,1,4,0,0
20:40,Weekday,1,4,0,0
20:50,Weekday,1,4,0,0
21:00,Weekday,1,4,0,0
21:10,Weekday,1,4,0,0
21:20,Weekday,1,4,0,0
21:30,Weekday,1,4,0,0
21:40,Weekday,1,4,0,0
21:50,Weekday,1,4,0,0
22:00,Weekday,1,4,0,0
22:10,Weekday,1,4,0,0
22:20,Weekday,1,4,0,0
22:30,Weekday,1,4,0,0
22:40,Weekday,1,4,0,0
22:50,Weekday,1,4,0,0
23:00,Weekday,1,4,0,0
23:10,Weekday,0,0,0,0
23:20,Weekday,0,0,0,0
23:30,Weekday,0,0,0,0
23:40,Weekday,0,0,0,0
23:50,Weekday,0,0,0,0
