episodes,avg_reward,mode
0,94.0,inference_normal
20,250.61904761904762,inference_normal
40,254.9512195121951,inference_normal
60,246.59016393442624,inference_normal
80,247.7530864197531,inference_normal
100,249.07920792079207,inference_normal
120,249.37190082644628,inference_normal
140,250.45390070921985,inference_normal
160,251.4472049689441,inference_normal
180,252.33701657458565,inference_normal
200,250.0597014925373,inference_normal
220,250.17194570135746,inference_normal
240,250.52697095435684,inference_normal
260,250.55172413793105,inference_normal
280,251.01067615658363,inference_normal
300,251.50498338870432,inference_normal
320,252.00311526479751,inference_normal
340,250.68035190615836,inference_normal
360,250.7146814404432,inference_normal
380,250.91076115485563,inference_normal
400,250.9077306733167,inference_normal
420,251.19714964370547,inference_normal
440,251.52607709750566,inference_normal
460,251.87201735357917,inference_normal
480,250.93970893970894,inference_normal
500,250.95409181636725,inference_normal
520,251.08829174664106,inference_normal
540,251.07948243992607,inference_normal
560,251.29055258467022,inference_normal
580,251.5370051635112,inference_normal
600,251.80199667221297,inference_normal
620,251.08212560386474,inference_normal
640,251.0889235569423,inference_normal
660,251.19062027231467,inference_normal
680,251.1806167400881,inference_normal
700,251.34664764621968,inference_normal
720,251.54368932038835,inference_normal
740,251.75843454790822,inference_normal
760,251.17214191852824,inference_normal
780,251.1754161331626,inference_normal
800,251.25717852684144,inference_normal
820,251.24725943970768,inference_normal
840,251.38406658739595,inference_normal
860,251.54819976771196,inference_normal
880,251.72871736662884,inference_normal
900,251.23418423973362,inference_normal
920,251.2356134636265,inference_normal
940,251.3039319872476,inference_normal
960,251.29448491155046,inference_normal
980,251.41080530071355,inference_normal
