episodes,Success rate,mode
0,0.9583333333333334,inference_normal
20,0.9811507936507936,inference_normal
40,0.9811507936507936,inference_normal
60,0.9811507936507936,inference_normal
80,0.9811507936507936,inference_normal
100,0.9811507936507936,inference_normal
120,0.9811507936507936,inference_normal
140,0.9811507936507936,inference_normal
160,0.9811507936507936,inference_normal
180,0.9811507936507936,inference_normal
200,0.9811507936507936,inference_normal
220,0.9811507936507936,inference_normal
240,0.9811507936507936,inference_normal
260,0.9811507936507936,inference_normal
280,0.9811507936507936,inference_normal
300,0.9811507936507936,inference_normal
320,0.9811507936507936,inference_normal
340,0.9811507936507936,inference_normal
360,0.9811507936507936,inference_normal
380,0.9811507936507936,inference_normal
400,0.9811507936507936,inference_normal
420,0.9811507936507936,inference_normal
440,0.9811507936507936,inference_normal
460,0.9811507936507936,inference_normal
480,0.9811507936507936,inference_normal
500,0.9811507936507936,inference_normal
520,0.9811507936507936,inference_normal
540,0.9811507936507936,inference_normal
560,0.9811507936507936,inference_normal
580,0.9811507936507936,inference_normal
600,0.9811507936507936,inference_normal
620,0.9811507936507936,inference_normal
640,0.9811507936507936,inference_normal
660,0.9811507936507936,inference_normal
680,0.9811507936507936,inference_normal
700,0.9811507936507936,inference_normal
720,0.9811507936507936,inference_normal
740,0.9811507936507936,inference_normal
760,0.9811507936507936,inference_normal
780,0.9811507936507936,inference_normal
800,0.9811507936507936,inference_normal
820,0.9811507936507936,inference_normal
840,0.9811507936507936,inference_normal
860,0.9811507936507936,inference_normal
880,0.9811507936507936,inference_normal
900,0.9811507936507936,inference_normal
920,0.9811507936507936,inference_normal
940,0.9811507936507936,inference_normal
960,0.9811507936507936,inference_normal
980,0.9811507936507936,inference_normal
0,0.9583333333333334,inference_poisoned
20,0.9811507936507936,inference_poisoned
40,0.9811507936507936,inference_poisoned
60,0.9811507936507936,inference_poisoned
80,0.9811507936507936,inference_poisoned
100,0.9811507936507936,inference_poisoned
120,0.9811507936507936,inference_poisoned
140,0.9811507936507936,inference_poisoned
160,0.9811507936507936,inference_poisoned
180,0.9811507936507936,inference_poisoned
200,0.9811507936507936,inference_poisoned
220,0.9811507936507936,inference_poisoned
240,0.9811507936507936,inference_poisoned
260,0.9811507936507936,inference_poisoned
280,0.9811507936507936,inference_poisoned
300,0.9811507936507936,inference_poisoned
320,0.9811507936507936,inference_poisoned
340,0.9811507936507936,inference_poisoned
360,0.9811507936507936,inference_poisoned
380,0.9811507936507936,inference_poisoned
400,0.9811507936507936,inference_poisoned
420,0.9811507936507936,inference_poisoned
440,0.9811507936507936,inference_poisoned
460,0.9811507936507936,inference_poisoned
480,0.9811507936507936,inference_poisoned
500,0.9826388888888888,inference_poisoned
520,1.0,inference_poisoned
540,1.0,inference_poisoned
560,1.0,inference_poisoned
580,1.0,inference_poisoned
600,1.0,inference_poisoned
620,1.0,inference_poisoned
640,1.0,inference_poisoned
660,1.0,inference_poisoned
680,1.0,inference_poisoned
700,1.0,inference_poisoned
720,1.0,inference_poisoned
740,1.0,inference_poisoned
760,1.0,inference_poisoned
780,1.0,inference_poisoned
800,1.0,inference_poisoned
820,1.0,inference_poisoned
840,1.0,inference_poisoned
860,1.0,inference_poisoned
880,1.0,inference_poisoned
900,1.0,inference_poisoned
920,0.9811507936507936,inference_poisoned
940,0.9811507936507936,inference_poisoned
960,0.9811507936507936,inference_poisoned
980,0.9811507936507936,inference_poisoned
