Episode 0: Avg Reward = 92.42, Success Rate = 1.00
Episode 1: Avg Reward = 87.67, Success Rate = 1.00
Episode 2: Avg Reward = 117.23, Success Rate = 1.00
Episode 3: Avg Reward = 453.29, Success Rate = 1.00
Episode 4: Avg Reward = 92.42, Success Rate = 1.00
Episode 5: Avg Reward = 87.67, Success Rate = 1.00
Episode 6: Avg Reward = 117.23, Success Rate = 1.00
Episode 7: Avg Reward = 453.29, Success Rate = 1.00
Episode 8: Avg Reward = 92.42, Success Rate = 1.00
Episode 9: Avg Reward = 87.67, Success Rate = 1.00
Episode 10: Avg Reward = 117.23, Success Rate = 1.00
Episode 11: Avg Reward = 453.29, Success Rate = 1.00
Episode 12: Avg Reward = 92.42, Success Rate = 1.00
Episode 13: Avg Reward = 87.67, Success Rate = 1.00
Episode 14: Avg Reward = 117.23, Success Rate = 1.00
Episode 15: Avg Reward = 453.29, Success Rate = 1.00
Episode 16: Avg Reward = 92.42, Success Rate = 1.00
Episode 17: Avg Reward = 87.67, Success Rate = 1.00
Episode 18: Avg Reward = 117.23, Success Rate = 1.00
Episode 19: Avg Reward = 453.29, Success Rate = 1.00
Episode 20: Avg Reward = 92.42, Success Rate = 1.00
Episode 21: Avg Reward = 87.67, Success Rate = 1.00
Episode 22: Avg Reward = 117.23, Success Rate = 1.00
Episode 23: Avg Reward = 453.29, Success Rate = 1.00
Episode 24: Avg Reward = 92.42, Success Rate = 1.00
Episode 25: Avg Reward = 87.67, Success Rate = 1.00
Episode 26: Avg Reward = 117.23, Success Rate = 1.00
Episode 27: Avg Reward = 453.29, Success Rate = 1.00
Episode 28: Avg Reward = 92.42, Success Rate = 1.00
Episode 29: Avg Reward = 87.67, Success Rate = 1.00
Episode 30: Avg Reward = 117.23, Success Rate = 1.00
Episode 31: Avg Reward = 453.29, Success Rate = 1.00
Episode 32: Avg Reward = 92.42, Success Rate = 1.00
Episode 33: Avg Reward = 87.67, Success Rate = 1.00
Episode 34: Avg Reward = 117.23, Success Rate = 1.00
Episode 35: Avg Reward = 453.29, Success Rate = 1.00
Episode 36: Avg Reward = 92.42, Success Rate = 1.00
Episode 37: Avg Reward = 87.67, Success Rate = 1.00
Episode 38: Avg Reward = 117.23, Success Rate = 1.00
Episode 39: Avg Reward = 453.29, Success Rate = 1.00
Episode 40: Avg Reward = 92.42, Success Rate = 1.00
Episode 41: Avg Reward = 87.67, Success Rate = 1.00
Episode 42: Avg Reward = 117.23, Success Rate = 1.00
Episode 43: Avg Reward = 453.29, Success Rate = 1.00
Episode 44: Avg Reward = 92.42, Success Rate = 1.00
Episode 45: Avg Reward = 87.67, Success Rate = 1.00
Episode 46: Avg Reward = 117.23, Success Rate = 1.00
Episode 47: Avg Reward = 453.29, Success Rate = 1.00
Episode 48: Avg Reward = 92.42, Success Rate = 1.00
Episode 49: Avg Reward = 87.67, Success Rate = 1.00
Episode 50: Avg Reward = 117.23, Success Rate = 1.00
Episode 51: Avg Reward = 453.29, Success Rate = 1.00
Episode 52: Avg Reward = 92.42, Success Rate = 1.00
Episode 53: Avg Reward = 87.67, Success Rate = 1.00
Episode 54: Avg Reward = 117.23, Success Rate = 1.00
Episode 55: Avg Reward = 453.29, Success Rate = 1.00
Episode 56: Avg Reward = 92.42, Success Rate = 1.00
Episode 57: Avg Reward = 87.67, Success Rate = 1.00
Episode 58: Avg Reward = 117.23, Success Rate = 1.00
Episode 59: Avg Reward = 453.29, Success Rate = 1.00
Episode 60: Avg Reward = 92.42, Success Rate = 1.00
Episode 61: Avg Reward = 87.67, Success Rate = 1.00
Episode 62: Avg Reward = 117.23, Success Rate = 1.00
Episode 63: Avg Reward = 453.29, Success Rate = 1.00
Episode 64: Avg Reward = 92.42, Success Rate = 1.00
Episode 65: Avg Reward = 87.67, Success Rate = 1.00
Episode 66: Avg Reward = 117.23, Success Rate = 1.00
Episode 67: Avg Reward = 453.29, Success Rate = 1.00
Episode 68: Avg Reward = 92.42, Success Rate = 1.00
Episode 69: Avg Reward = 87.67, Success Rate = 1.00
Episode 70: Avg Reward = 117.23, Success Rate = 1.00
Episode 71: Avg Reward = 453.29, Success Rate = 1.00
Episode 72: Avg Reward = 92.42, Success Rate = 1.00
Episode 73: Avg Reward = 87.67, Success Rate = 1.00
Episode 74: Avg Reward = 117.23, Success Rate = 1.00
Episode 75: Avg Reward = 453.29, Success Rate = 1.00
Episode 76: Avg Reward = 92.42, Success Rate = 1.00
Episode 77: Avg Reward = 87.67, Success Rate = 1.00
Episode 78: Avg Reward = 117.23, Success Rate = 1.00
Episode 79: Avg Reward = 453.29, Success Rate = 1.00
Episode 80: Avg Reward = 92.42, Success Rate = 1.00
Episode 81: Avg Reward = 87.67, Success Rate = 1.00
Episode 82: Avg Reward = 117.23, Success Rate = 1.00
Episode 83: Avg Reward = 453.29, Success Rate = 1.00
Episode 84: Avg Reward = 92.42, Success Rate = 1.00
Episode 85: Avg Reward = 87.67, Success Rate = 1.00
Episode 86: Avg Reward = 117.23, Success Rate = 1.00
Episode 87: Avg Reward = 453.29, Success Rate = 1.00
Episode 88: Avg Reward = 92.42, Success Rate = 1.00
Episode 89: Avg Reward = 87.67, Success Rate = 1.00
Episode 90: Avg Reward = 117.23, Success Rate = 1.00
Episode 91: Avg Reward = 453.29, Success Rate = 1.00
Episode 92: Avg Reward = 92.42, Success Rate = 1.00
Episode 93: Avg Reward = 87.67, Success Rate = 1.00
Episode 94: Avg Reward = 117.23, Success Rate = 1.00
Episode 95: Avg Reward = 453.29, Success Rate = 1.00
Episode 96: Avg Reward = 92.42, Success Rate = 1.00
Episode 97: Avg Reward = 87.67, Success Rate = 1.00
Episode 98: Avg Reward = 117.23, Success Rate = 1.00
Episode 99: Avg Reward = 453.29, Success Rate = 1.00
Episode 100: Avg Reward = 92.42, Success Rate = 1.00
Episode 101: Avg Reward = 87.67, Success Rate = 1.00
Episode 102: Avg Reward = 117.23, Success Rate = 1.00
Episode 103: Avg Reward = 453.29, Success Rate = 1.00
Episode 104: Avg Reward = 92.42, Success Rate = 1.00
Episode 105: Avg Reward = 87.67, Success Rate = 1.00
Episode 106: Avg Reward = 117.23, Success Rate = 1.00
Episode 107: Avg Reward = 453.29, Success Rate = 1.00
Episode 108: Avg Reward = 92.42, Success Rate = 1.00
Episode 109: Avg Reward = 87.67, Success Rate = 1.00
Episode 110: Avg Reward = 117.23, Success Rate = 1.00
Episode 111: Avg Reward = 453.29, Success Rate = 1.00
Episode 112: Avg Reward = 92.42, Success Rate = 1.00
Episode 113: Avg Reward = 87.67, Success Rate = 1.00
Episode 114: Avg Reward = 117.23, Success Rate = 1.00
Episode 115: Avg Reward = 453.29, Success Rate = 1.00
Episode 116: Avg Reward = 92.42, Success Rate = 1.00
Episode 117: Avg Reward = 87.67, Success Rate = 1.00
Episode 118: Avg Reward = 117.23, Success Rate = 1.00
Episode 119: Avg Reward = 453.29, Success Rate = 1.00
Episode 120: Avg Reward = 92.42, Success Rate = 1.00
Episode 121: Avg Reward = 87.67, Success Rate = 1.00
Episode 122: Avg Reward = 117.23, Success Rate = 1.00
Episode 123: Avg Reward = 453.29, Success Rate = 1.00
Episode 124: Avg Reward = 92.42, Success Rate = 1.00
Episode 125: Avg Reward = 87.67, Success Rate = 1.00
Episode 126: Avg Reward = 117.23, Success Rate = 1.00
Episode 127: Avg Reward = 453.29, Success Rate = 1.00
Episode 128: Avg Reward = 92.42, Success Rate = 1.00
Episode 129: Avg Reward = 87.67, Success Rate = 1.00
Episode 130: Avg Reward = 117.23, Success Rate = 1.00
Episode 131: Avg Reward = 453.29, Success Rate = 1.00
Episode 132: Avg Reward = 92.42, Success Rate = 1.00
Episode 133: Avg Reward = 87.67, Success Rate = 1.00
Episode 134: Avg Reward = 117.23, Success Rate = 1.00
Episode 135: Avg Reward = 453.29, Success Rate = 1.00
Episode 136: Avg Reward = 92.42, Success Rate = 1.00
Episode 137: Avg Reward = 87.67, Success Rate = 1.00
Episode 138: Avg Reward = 117.23, Success Rate = 1.00
Episode 139: Avg Reward = 453.29, Success Rate = 1.00
Episode 140: Avg Reward = 92.42, Success Rate = 1.00
Episode 141: Avg Reward = 87.67, Success Rate = 1.00
Episode 142: Avg Reward = 117.23, Success Rate = 1.00
Episode 143: Avg Reward = 453.29, Success Rate = 1.00
Episode 144: Avg Reward = 92.42, Success Rate = 1.00
Episode 145: Avg Reward = 87.67, Success Rate = 1.00
Episode 146: Avg Reward = 117.23, Success Rate = 1.00
Episode 147: Avg Reward = 453.29, Success Rate = 1.00
Episode 148: Avg Reward = 92.42, Success Rate = 1.00
Episode 149: Avg Reward = 87.67, Success Rate = 1.00
Episode 150: Avg Reward = 117.23, Success Rate = 1.00
Episode 151: Avg Reward = 453.29, Success Rate = 1.00
Episode 152: Avg Reward = 92.42, Success Rate = 1.00
Episode 153: Avg Reward = 87.67, Success Rate = 1.00
Episode 154: Avg Reward = 117.23, Success Rate = 1.00
Episode 155: Avg Reward = 453.29, Success Rate = 1.00
Episode 156: Avg Reward = 92.42, Success Rate = 1.00
Episode 157: Avg Reward = 87.67, Success Rate = 1.00
Episode 158: Avg Reward = 117.23, Success Rate = 1.00
Episode 159: Avg Reward = 453.29, Success Rate = 1.00
Episode 160: Avg Reward = 92.42, Success Rate = 1.00
Episode 161: Avg Reward = 87.67, Success Rate = 1.00
Episode 162: Avg Reward = 117.23, Success Rate = 1.00
Episode 163: Avg Reward = 453.29, Success Rate = 1.00
Episode 164: Avg Reward = 92.42, Success Rate = 1.00
Episode 165: Avg Reward = 87.67, Success Rate = 1.00
Episode 166: Avg Reward = 117.23, Success Rate = 1.00
Episode 167: Avg Reward = 453.29, Success Rate = 1.00
Episode 168: Avg Reward = 92.42, Success Rate = 1.00
Episode 169: Avg Reward = 87.67, Success Rate = 1.00
Episode 170: Avg Reward = 117.23, Success Rate = 1.00
Episode 171: Avg Reward = 453.29, Success Rate = 1.00
Episode 172: Avg Reward = 92.42, Success Rate = 1.00
Episode 173: Avg Reward = 87.67, Success Rate = 1.00
Episode 174: Avg Reward = 117.23, Success Rate = 1.00
Episode 175: Avg Reward = 453.29, Success Rate = 1.00
Episode 176: Avg Reward = 92.42, Success Rate = 1.00
Episode 177: Avg Reward = 87.67, Success Rate = 1.00
Episode 178: Avg Reward = 117.23, Success Rate = 1.00
Episode 179: Avg Reward = 453.29, Success Rate = 1.00
Episode 180: Avg Reward = 92.42, Success Rate = 1.00
Episode 181: Avg Reward = 87.67, Success Rate = 1.00
Episode 182: Avg Reward = 117.23, Success Rate = 1.00
Episode 183: Avg Reward = 453.29, Success Rate = 1.00
Episode 184: Avg Reward = 92.42, Success Rate = 1.00
Episode 185: Avg Reward = 87.67, Success Rate = 1.00
Episode 186: Avg Reward = 117.23, Success Rate = 1.00
Episode 187: Avg Reward = 453.29, Success Rate = 1.00
Episode 188: Avg Reward = 92.42, Success Rate = 1.00
Episode 189: Avg Reward = 87.67, Success Rate = 1.00
Episode 190: Avg Reward = 117.23, Success Rate = 1.00
Episode 191: Avg Reward = 453.29, Success Rate = 1.00
Episode 192: Avg Reward = 92.42, Success Rate = 1.00
Episode 193: Avg Reward = 87.67, Success Rate = 1.00
Episode 194: Avg Reward = 117.23, Success Rate = 1.00
Episode 195: Avg Reward = 453.29, Success Rate = 1.00
Episode 196: Avg Reward = 92.42, Success Rate = 1.00
Episode 197: Avg Reward = 87.67, Success Rate = 1.00
Episode 198: Avg Reward = 117.23, Success Rate = 1.00
Episode 199: Avg Reward = 453.29, Success Rate = 1.00
Episode 200: Avg Reward = 92.42, Success Rate = 1.00
Episode 201: Avg Reward = 87.67, Success Rate = 1.00
Episode 202: Avg Reward = 117.23, Success Rate = 1.00
Episode 203: Avg Reward = 453.29, Success Rate = 1.00
Episode 204: Avg Reward = 92.42, Success Rate = 1.00
Episode 205: Avg Reward = 87.67, Success Rate = 1.00
Episode 206: Avg Reward = 117.23, Success Rate = 1.00
Episode 207: Avg Reward = 453.29, Success Rate = 1.00
Episode 208: Avg Reward = 92.42, Success Rate = 1.00
Episode 209: Avg Reward = 87.67, Success Rate = 1.00
Episode 210: Avg Reward = 117.23, Success Rate = 1.00
Episode 211: Avg Reward = 453.29, Success Rate = 1.00
Episode 212: Avg Reward = 92.42, Success Rate = 1.00
Episode 213: Avg Reward = 87.67, Success Rate = 1.00
Episode 214: Avg Reward = 117.23, Success Rate = 1.00
Episode 215: Avg Reward = 453.29, Success Rate = 1.00
Episode 216: Avg Reward = 92.42, Success Rate = 1.00
Episode 217: Avg Reward = 87.67, Success Rate = 1.00
Episode 218: Avg Reward = 117.23, Success Rate = 1.00
Episode 219: Avg Reward = 453.29, Success Rate = 1.00
Episode 220: Avg Reward = 92.42, Success Rate = 1.00
Episode 221: Avg Reward = 87.67, Success Rate = 1.00
Episode 222: Avg Reward = 117.23, Success Rate = 1.00
Episode 223: Avg Reward = 453.29, Success Rate = 1.00
Episode 224: Avg Reward = 92.42, Success Rate = 1.00
Episode 225: Avg Reward = 87.67, Success Rate = 1.00
Episode 226: Avg Reward = 117.23, Success Rate = 1.00
Episode 227: Avg Reward = 453.29, Success Rate = 1.00
Episode 228: Avg Reward = 92.42, Success Rate = 1.00
Episode 229: Avg Reward = 87.67, Success Rate = 1.00
Episode 230: Avg Reward = 117.23, Success Rate = 1.00
Episode 231: Avg Reward = 453.29, Success Rate = 1.00
Episode 232: Avg Reward = 92.42, Success Rate = 1.00
Episode 233: Avg Reward = 87.67, Success Rate = 1.00
Episode 234: Avg Reward = 117.23, Success Rate = 1.00
Episode 235: Avg Reward = 453.29, Success Rate = 1.00
Episode 236: Avg Reward = 92.42, Success Rate = 1.00
Episode 237: Avg Reward = 87.67, Success Rate = 1.00
Episode 238: Avg Reward = 117.23, Success Rate = 1.00
Episode 239: Avg Reward = 453.29, Success Rate = 1.00
Episode 240: Avg Reward = 92.42, Success Rate = 1.00
Episode 241: Avg Reward = 87.67, Success Rate = 1.00
Episode 242: Avg Reward = 117.23, Success Rate = 1.00
Episode 243: Avg Reward = 453.29, Success Rate = 1.00
Episode 244: Avg Reward = 92.42, Success Rate = 1.00
Episode 245: Avg Reward = 87.67, Success Rate = 1.00
Episode 246: Avg Reward = 117.23, Success Rate = 1.00
Episode 247: Avg Reward = 453.29, Success Rate = 1.00
Episode 248: Avg Reward = 92.42, Success Rate = 1.00
Episode 249: Avg Reward = 87.67, Success Rate = 1.00
