Hour,Weekday/Weekend,Presence Detector,Face Recognition,Weapon Recognition,Action
00:00,Weekend,0,0,0,0
00:10,Weekend,0,0,0,0
00:20,Weekend,0,0,0,0
00:30,Weekend,0,0,0,0
00:40,Weekend,0,0,0,0
00:50,Weekend,0,0,0,0
01:00,Weekend,0,0,0,0
01:10,Weekend,0,0,0,0
01:20,Weekend,0,0,0,0
01:30,Weekend,0,0,0,0
01:40,Weekend,0,0,0,0
01:50,Weekend,0,0,0,0
02:00,Weekend,0,0,0,0
02:10,Weekend,0,0,0,0
02:20,Weekend,0,0,0,0
02:30,Weekend,0,0,0,0
02:40,Weekend,0,0,0,0
02:50,Weekend,0,0,0,0
03:00,Weekend,0,0,0,0
03:10,Weekend,0,0,0,0
03:20,Weekend,0,0,0,0
03:30,Weekend,0,0,0,0
03:40,Weekend,0,0,0,0
03:50,Weekend,0,0,0,0
04:00,Weekend,0,0,0,0
04:10,Weekend,0,0,0,0
04:20,Weekend,0,0,0,0
04:30,Weekend,0,0,0,0
04:40,Weekend,0,0,0,0
04:50,Weekend,0,0,0,0
05:00,Weekend,0,0,0,0
05:10,Weekend,0,0,0,0
05:20,Weekend,0,0,0,0
05:30,Weekend,0,0,0,0
05:40,Weekend,0,0,0,0
05:50,Weekend,0,0,0,0
06:00,Weekend,0,0,0,0
06:10,Weekend,0,0,0,0
06:20,Weekend,0,0,0,0
06:30,Weekend,0,0,0,0
06:40,Weekend,0,0,0,0
06:50,Weekend,0,0,0,0
07:00,Weekend,0,0,0,0
07:10,Weekend,0,0,0,0
07:20,Weekend,0,0,0,0
07:30,Weekend,0,0,0,0
07:40,Weekend,0,0,0,0
07:50,Weekend,0,0,0,0
08:00,Weekend,0,0,0,0
08:10,Weekend,0,0,0,0
08:20,Weekend,0,0,0,0
08:30,Weekend,0,0,0,0
08:40,Weekend,0,0,0,0
08:50,Weekend,0,0,0,0
09:00,Weekend,0,0,0,0
09:10,Weekend,0,0,0,0
09:20,Weekend,0,0,0,0
09:30,Weekend,0,0,0,0
09:40,Weekend,0,0,0,0
09:50,Weekend,0,0,0,0
10:00,Weekend,1,4,0,0  # Family wakes up
10:10,Weekend,1,4,0,0
10:20,Weekend,1,4,0,0
10:30,Weekend,1,4,0,0
10:40,Weekend,1,4,0,0
10:50,Weekend,1,4,0,0
11:00,Weekend,1,4,0,0
11:10,Weekend,1,4,0,0
11:20,Weekend,1,4,0,0
11:30,Weekend,1,4,0,0
11:40,Weekend,1,4,0,0
11:50,Weekend,1,4,0,0
12:00,Weekend,1,4,0,0
20:00,Weekend,0,0,0,0  # Family leaves
20:10,Weekend,0,0,0,0
20:20,Weekend,0,0,0,0
20:30,Weekend,1,0,1,1  # Intrusion starts
20:40,Weekend,1,0,1,1
20:50,Weekend,1,0,1,1
21:00,Weekend,1,0,1,1
21:10,Weekend,1,0,1,1
21:20,Weekend,1,0,1,1
21:30,Weekend,1,0,1,1
21:40,Weekend,1,0,1,1
21:50,Weekend,1,0,1,1
22:00,Weekend,1,0,1,1
22:10,Weekend,1,0,1,1
22:20,Weekend,1,0,0,1
22:30,Weekend,1,0,0,1
22:40,Weekend,1,0,0,1
22:50,Weekend,1,0,0,1
23:00,Weekend,1,0,0,1
23:10,Weekend,1,0,0,1
23:20,Weekend,1,0,0,1
23:30,Weekend,1,0,0,1
23:40,Weekend,1,0,0,1
23:50,Weekend,1,0,0,1
00:00,Weekend,1,0,0,1
01:00,Weekend,1,0,0,1
01:30,Weekend,0,0,0,0  # Intrusion ends
02:00,Weekend,1,4,0,0  # Family returns
02:10,Weekend,1,4,0,0
02:20,Weekend,1,4,0,0
02:30,Weekend,1,4,0,0
02:40,Weekend,1,4,0,0
02:50,Weekend,1,4,0,0
